,Name,Price,Rating
0,"POCO C31 (Shadow Gray, 64 GB)",7999,4.4
1,"REDMI Note 10S (Deep Sea Blue, 64 GB)",12499,4.4
2,"POCO C31 (Royal Blue, 32 GB)",6999,4.4
3,"POCO C31 (Royal Blue, 64 GB)",7999,4.4
4,"POCO C31 (Shadow Gray, 32 GB)",6999,4.4
5,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",11999,4.3
6,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",11999,4.3
7,"REDMI Note 10S (Shadow Black, 64 GB)",12499,4.4
8,"REDMI 9i Sport (Carbon Black, 64 GB)",8799,4.4
9,"REDMI 9i Sport (Coral Green, 64 GB)",8799,4.4
10,"OPPO K10 5G (Ocean Blue, 128 GB)",16499,4.5
11,"REDMI 9i Sport (Metallic Blue, 64 GB)",8799,4.4
12,"REDMI 10 (Pacific Blue, 64 GB)",9999,4.3
13,"REDMI 10 (Midnight Black, 64 GB)",9999,4.3
14,"Infinix HOT 12 Play (Champagne Gold, 64 GB)",8499,4.3
15,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",8499,4.3
16,"Infinix HOT 12 Play (Daylight Green, 64 GB)",8499,4.3
17,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",11999,4.4
18,"REDMI Note 10S (Frost White, 64 GB)",12499,4.4
19,"Nothing Phone (1) (White, 256 GB)",38999,4.3
20,"Infinix HOT 12 Play (Racing Black, 64 GB)",8499,4.3
21,"Infinix Note 12 (Force Black, 64 GB)",9999,4.4
22,"OPPO K10 5G (Ocean Blue, 128 GB)",17499,4.4
23,"REDMI 10 (Caribbean Green, 64 GB)",9999,4.3
24,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",11999,4.4
25,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",13999,4.3
26,"vivo T1X (Space Blue, 128 GB)",12999,4.6
27,"vivo T1X (Gravity Black, 128 GB)",14999,4.6
28,"vivo T1X (Gravity Black, 128 GB)",12999,4.6
29,"vivo T1X (Space Blue, 64 GB)",11999,4.6
30,"vivo T1X (Gravity Black, 64 GB)",11999,4.6
31,"POCO M4 5G (Power Black, 64 GB)",10999,4.3
32,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",13999,4.3
33,"REDMI Note 10T 5G (Mint Green, 128 GB)",13999,4.3
34,"Infinix Note 12 (Jewel Blue, 64 GB)",9999,4.4
35,"vivo T1 5G (Rainbow Fantasy, 128 GB)",15990,4.3
36,"POCO M4 Pro (Cool Blue, 128 GB)",13499,4.3
37,"vivo T1 5G (Starlight Black, 128 GB)",15990,4.3
38,"vivo T1 5G (Rainbow Fantasy, 128 GB)",16990,4.3
39,"vivo T1X (Space Blue, 128 GB)",14999,4.6
40,"POCO M4 Pro (Cool Blue, 64 GB)",12499,4.3
41,"OPPO K10 (Blue Flame, 128 GB)",14990,4.4
42,"OPPO K10 (Black Carbon, 128 GB)",14990,4.4
43,"vivo T1 44W (Starry Sky, 128 GB)",14499,4.4
44,"POCO M4 Pro (Power Black, 64 GB)",12499,4.3
45,"REDMI Note 10T 5G (Chromium White, 64 GB)",11999,4.4
