,Profile,Location,Company,Time,Date
0,"Software Engineer- Hadoop, Pyspark","Gurgaon, Haryana, India",American Express,2 days ago,2022-08-12
1,Pyspark Engineer (Remote),"Pune, Maharashtra, India",codvo.ai,1 day ago,2022-08-12
2,Pyspark Developer,"Hyderabad, Telangana, India",Cognizant,1 week ago,2022-08-03
3,Pyspark Developer (Remote),"Pune, Maharashtra, India",codvo.ai,1 day ago,2022-08-12
4,"Software Engineer- Hadoop, Pyspark","Gurgaon, Haryana, India",American Express,2 days ago,2022-08-12
5,Pyspark- Developer,"Pune, Maharashtra, India",Cognizant,1 week ago,2022-08-06
6,pyspark+oracle,India,CodersBrain,1 day ago,2022-08-12
7,Jr. ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
8,"Data & Analytics Tech - Scripting Skills: Spark SQL,Scala, Python/Pyspark - Senior Associate","Bengaluru, Karnataka, India",PwC Acceleration Centers,1 week ago,2022-08-03
9,Jr. ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
10,Jr. ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
11,ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
12,ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
13,Associate,"Pune, Maharashtra, India",Cognizant,1 week ago,2022-08-05
14,Software Engineer - Azure + Python + PySpark Job,"Bengaluru, Karnataka, India",YASH Technologies,3 months ago,2022-05-09
15,Data Engineer,"Bengaluru, Karnataka, India","Mercedes-Benz Vans, LLC (Charleston, SC)",3 weeks ago,2022-07-23
16,ETL Developer,"Bengaluru, Karnataka, India",Baxter International Inc.,3 weeks ago,2022-07-17
17,Hadoop Developer [5+ years],Mumbai Metropolitan Region,Synechron,,
18,Data Engineer,"Bengaluru, Karnataka, India","Mercedes-Benz Vans, LLC (Charleston, SC)",1 month ago,2022-07-14
19,Data Engineer,"Bengaluru, Karnataka, India","Mercedes-Benz Vans, LLC (Charleston, SC)",1 month ago,2022-07-14
20,#6282-#1- Senior ETL Specialist- ETL/SQL/JIRA,"Bengaluru, Karnataka, India",Qualitest,5 days ago,2022-08-09
21,Big Data Developer,"Bengaluru, Karnataka, India",Infosys,1 day ago,2022-08-12
22,Python / Pyspark Developer,"Hyderabad, Telangana, India",Virtualware Innovations,1 month ago,2022-07-02
23,Hadoop/Spark Developer,"Hyderabad, Telangana, India",Infosys,2 weeks ago,2022-07-28
24,Data Science Full Time Opportunity for University Graduates,"Goa, India",Microsoft,1 week ago,2022-08-05
25,Data Scientist,"Mumbai, Maharashtra, India","Pristine Infotech, Inc.",,
26,"Data Scientist - Bangalore, KA","Bengaluru, Karnataka, India",Optum,4 months ago,2022-03-18
